image name,color,good part, no hole, have pin, broken tooth
image_1,s,1,0,0,0
image_2,s,1,0,0,0
image_3,s,1,0,0,0
image_4,s,1,0,0,0
image_5,s,1,0,0,0
image_6,b,1,0,0,0
image_7,b,1,0,0,0
image_8,b,1,0,0,0
image_9,b,1,0,0,0
image_10,b,1,0,0,0
image_11,r,1,0,0,0
image_12,r,1,0,0,0
image_13,r,1,0,0,0
image_14,r,1,0,0,0
image_15,r,1,0,0,0
image_16,s,1,0,0,0
image_17,s,1,0,0,0
image_18,s,1,0,0,0
image_19,s,1,0,0,0
image_20,s,1,0,0,0
image_21,b,1,0,0,0
image_22,b,1,0,0,0
image_23,b,1,0,0,0
image_24,b,1,0,0,0
image_25,b,1,0,0,0
image_26,r,1,0,0,0
image_27,r,1,0,0,0
image_28,r,1,0,0,0
image_29,r,1,0,0,0
image_30,r,1,0,0,0
image_31,s,1,0,0,0
image_32,s,1,0,0,0
image_33,s,1,0,0,0
image_34,s,1,0,0,0
image_35,s,1,0,0,0
image_36,b,1,0,0,0
image_37,b,1,0,0,0
image_38,b,1,0,0,0
image_39,b,1,0,0,0
image_40,b,1,0,0,0
image_41,r,1,0,0,0
image_42,r,1,0,0,0
image_43,r,1,0,0,0
image_44,r,1,0,0,0
image_45,r,1,0,0,0
image_46,s,1,0,0,0
image_47,s,1,0,0,0
image_48,s,1,0,0,0
image_49,s,1,0,0,0
image_50,s,1,0,0,0
image_51,b,1,0,0,0
image_52,b,1,0,0,0
image_53,b,1,0,0,0
image_54,b,1,0,0,0
image_55,b,1,0,0,0
image_56,r,1,0,0,0
image_57,r,1,0,0,0
image_58,r,1,0,0,0
image_59,r,1,0,0,0
image_60,r,1,0,0,0
image_61,b,1,0,0,0
image_62,b,1,0,0,0
image_63,b,1,0,0,0
image_64,b,1,0,0,0
image_65,b,1,0,0,0
image_66,s,1,0,0,0
image_67,s,1,0,0,0
image_68,s,1,0,0,0
image_69,s,1,0,0,0
image_70,s,1,0,0,0
image_71,r,1,0,0,0
image_72,r,1,0,0,0
image_73,r,1,0,0,0
image_74,r,1,0,0,0
image_75,r,1,0,0,0
image_76,b,1,0,0,0
image_77,b,1,0,0,0
image_78,b,1,0,0,0
image_79,b,1,0,0,0
image_80,b,1,0,0,0
image_81,s,1,0,0,0
image_82,s,1,0,0,0
image_83,s,1,0,0,0
image_84,s,1,0,0,0
image_85,s,1,0,0,0
image_86,r,1,0,0,0
image_87,r,1,0,0,0
image_88,r,1,0,0,0
image_89,r,1,0,0,0
image_90,r,1,0,0,0
image_91,b,1,0,0,0
image_92,b,1,0,0,0
image_93,b,1,0,0,0
image_94,b,1,0,0,0
image_95,b,1,0,0,0
image_96,s,1,0,0,0
image_97,s,1,0,0,0
image_98,s,1,0,0,0
image_99,s,1,0,0,0
image_100,s,1,0,0,0
image_101,r,1,0,0,0
image_102,r,1,0,0,0
image_103,r,1,0,0,0
image_104,r,1,0,0,0
image_105,r,1,0,0,0
image_106,b,1,0,0,0
image_107,b,1,0,0,0
image_108,b,1,0,0,0
image_109,b,1,0,0,0
image_110,b,1,0,0,0
image_111,r,1,0,0,0
image_112,r,1,0,0,0
image_113,r,1,0,0,0
image_114,r,1,0,0,0
image_115,r,1,0,0,0
image_116,s,1,0,0,0
image_117,s,1,0,0,0
image_118,s,1,0,0,0
image_119,s,1,0,0,0
image_120,s,1,0,0,0
image_121,b,1,0,0,0
image_122,b,1,0,0,0
image_123,b,1,0,0,0
image_124,b,1,0,0,0
image_125,b,1,0,0,0
image_126,r,1,0,0,0
image_127,r,1,0,0,0
image_128,r,1,0,0,0
image_129,r,1,0,0,0
image_130,r,1,0,0,0
image_131,s,1,0,0,0
image_132,s,1,0,0,0
image_133,s,1,0,0,0
image_134,s,1,0,0,0
image_135,s,1,0,0,0
image_136,b,1,0,0,0
image_137,b,1,0,0,0
image_138,b,1,0,0,0
image_139,b,1,0,0,0
image_140,b,1,0,0,0
image_141,r,1,0,0,0
image_142,r,1,0,0,0
image_143,r,1,0,0,0
image_144,r,1,0,0,0
image_145,r,1,0,0,0
image_146,s,1,0,0,0
image_147,s,1,0,0,0
image_148,s,1,0,0,0
image_149,s,1,0,0,0
image_150,s,1,0,0,0
image_151,b,1,0,0,0
image_152,b,1,0,0,0
image_153,b,1,0,0,0
image_154,b,1,0,0,0
image_155,b,1,0,0,0
image_156,r,1,0,0,0
image_157,r,1,0,0,0
image_158,r,1,0,0,0
image_159,r,1,0,0,0
image_160,r,1,0,0,0
image_161,s,1,0,0,0
image_162,s,1,0,0,0
image_163,s,1,0,0,0
image_164,s,1,0,0,0
image_165,s,1,0,0,0
image_166,b,1,0,0,0
image_167,b,1,0,0,0
image_168,b,1,0,0,0
image_169,b,1,0,0,0
image_170,b,1,0,0,0
image_171,r,1,0,0,0
image_172,r,1,0,0,0
image_173,r,1,0,0,0
image_174,r,1,0,0,0
image_175,r,1,0,0,0
image_176,s,1,0,0,0
image_177,s,1,0,0,0
image_178,s,1,0,0,0
image_179,s,1,0,0,0
image_180,s,1,0,0,0
image_181,s,0,1,0,0
image_182,s,0,1,0,0
image_183,s,0,1,0,0
image_184,s,0,1,0,0
image_185,s,0,1,0,0
image_186,r,0,1,0,0
image_187,r,0,1,0,0
image_188,r,0,1,0,0
image_189,r,0,1,0,0
image_190,r,0,1,0,0
image_191,b,0,1,0,0
image_192,b,0,1,0,0
image_193,b,0,1,0,0
image_194,b,0,1,0,0
image_195,b,0,1,0,0
image_196,s,0,1,0,0
image_197,s,0,1,0,0
image_198,s,0,1,0,0
image_199,s,0,1,0,0
image_200,s,0,1,0,0
image_201,r,0,1,0,0
image_202,r,0,1,0,0
image_203,r,0,1,0,0
image_204,r,0,1,0,0
image_205,r,0,1,0,0
image_206,b,0,1,0,0
image_207,b,0,1,0,0
image_208,b,0,1,0,0
image_209,b,0,1,0,0
image_210,b,0,1,0,0
image_211,s,0,1,0,0
image_212,s,0,1,0,0
image_213,s,0,1,0,0
image_214,s,0,1,0,0
image_215,s,0,1,0,0
image_216,r,0,1,0,0
image_217,r,0,1,0,0
image_218,r,0,1,0,0
image_219,r,0,1,0,0
image_220,r,0,1,0,0
image_221,b,0,1,0,0
image_222,b,0,1,0,0
image_223,b,0,1,0,0
image_224,b,0,1,0,0
image_225,b,0,1,0,0
image_226,s,0,1,0,0
image_227,s,0,1,0,0
image_228,s,0,1,0,0
image_229,s,0,1,0,0
image_230,s,0,1,0,0
image_231,r,0,1,0,0
image_232,r,0,1,0,0
image_233,r,0,1,0,0
image_234,r,0,1,0,0
image_235,r,0,1,0,0
image_236,b,0,1,0,0
image_237,b,0,1,0,0
image_238,b,0,1,0,0
image_239,b,0,1,0,0
image_240,b,0,1,0,0
image_241,s,0,1,0,0
image_242,s,0,1,0,0
image_243,s,0,1,0,0
image_244,s,0,1,0,0
image_245,s,0,1,0,0
image_246,r,0,1,0,0
image_247,r,0,1,0,0
image_248,r,0,1,0,0
image_249,r,0,1,0,0
image_250,r,0,1,0,0
image_251,b,0,1,0,0
image_252,b,0,1,0,0
image_253,b,0,1,0,0
image_254,b,0,1,0,0
image_255,b,0,1,0,0
image_256,s,0,1,0,0
image_257,s,0,1,0,0
image_258,s,0,1,0,0
image_259,s,0,1,0,0
image_260,s,0,1,0,0
image_261,r,0,1,0,0
image_262,r,0,1,0,0
image_263,r,0,1,0,0
image_264,r,0,1,0,0
image_265,r,0,1,0,0
image_266,b,0,1,0,0
image_267,b,0,1,0,0
image_268,b,0,1,0,0
image_269,b,0,1,0,0
image_270,b,0,1,0,0
image_271,s,0,1,0,0
image_272,s,0,1,0,0
